video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,commentCount,duration,definition,durationSecs,dayPublished,tagCount
MuP1T0m0OZ4,Be Kind Rewind,Casting Scarlett O'Hara & Vivien Leigh's Oscar,"80 years ago, Gone With The Wind took America by storm...with Vivien Leigh leading the charge. Her performance is considered one of the greatest in film history, but so much had to happen for her to get that role. In this video, I talk about the notoriously extensive process of casting Scarlett O'Hara and why Vivien Leigh's Oscar was so well deserved. 

Music from Epidemic Sound. 

Find me on Twitter @bkrewind

THANK YOU to all of my patrons. You can find me on Patreon here: https://www.patreon.com/bkrewind","[""scarlett o'hara"", 'vivien leigh', 'gone with the wind', '1939', 'oscar', 'best actress oscar', 'casting', ""scarlett o'hara auditions"", 'clark gable', 'bette davis', 'jezebel', 'love affair', 'irene dunne', 'ninotchka', 'greta garbo', 'academy awards', 'david o. selznick', 'laurence olivier', 'rhett butler', 'greer garson', 'paulette goddard', 'tallulah bankhead', 'lana turner', 'miriam hopkins', 'hattie mcdaniel']",2019-07-31 18:40:22+00:00,943599,18303,2446,PT22M14S,hd,1334,Wednesday,25
Gt3FoBI0lwA,Be Kind Rewind,Sandra Bullock and The Blind Side's White Savior Problem,"When reviewing The Blind Side for the Telegraph, Sukhdev Sandu wrote “Just because the story is true doesn’t make it real.” Director John Lee Hancock chose to frame the film about a black teen who became a football star around his white benefactors, and in doing so may have actually contributed to Sandra Bullock’s Oscar win in 2010 for Best Actress. In this video, I show you how. 

For more information on white savior films, read  Matthew Hughey’s book: https://www.amazon.com/White-Savior-Film-Content-Consumption/dp/1439910014

Or Erin Ash’s article about The Blind Side: https://www.jstor.org/stable/44259586?seq=1#metadata_info_tab_contents

Music from Epidemic Sound. 

Find me on Twitter @bkrewind
Find me on Patreon https://www.patreon.com/bkrewind","['sandra bullock', 'the blind side', 'white savior', 'meryl streep', 'oscars', 'best actress', '2010', '2009', 'the proposal', 'julie and julia', 'precious', 'gabourey sidibe', 'carey mulligan', 'an education', 'helen mirren', 'academy awards', 'michael oher', 'leigh anne tuohy']",2019-06-13 18:34:15+00:00,570741,20445,2513,PT18M35S,hd,1115,Thursday,18
HkKTllMa2_M,Be Kind Rewind,"Ginger Rogers, Katharine Hepburn, and the 1941 Oscars","They both started on the stage. Both dated Howard Hughes. Both became famous at RKO. Both starred in movies that take place in Philadelphia. Ginger Rogers and Katharine Hepburn often met the same milestones, despite taking wildly different paths. In this video, I mirror their journeys to show how they shared a determination that made them legendary. 

Music from Epidemic Sound. 

Find me on Twitter @bkrewind
Find me on Patreon https://www.patreon.com/bkrewind","['ginger rogers', 'katharine hepburn', 'oscars', 'academy awards', 'bette davis', 'martha scott', 'rebecca', 'joan fontaine', 'kitty foyle', 'the philadelphia story', 'the letter', 'our town', 'stage door', '1941', '1941 oscars', 'best actress', 'hollywood history']",2019-05-23 03:23:50+00:00,368695,7990,911,PT21M34S,hd,1294,Thursday,17
SbA4NkKUX2g,Be Kind Rewind,Why Do We Love Meryl Streep?,"Meryl Streep is frequently called the greatest actress of her generation. She's a box office queen with more Oscar nominations than any other actor. What is it about her that is so great and how did she do it?

Music from Epidemic Sound. 

Find me on Twitter @bkrewind
Find me on Patreon https://www.patreon.com/bkrewind","['meryl streep', 'best actress', 'oscar', 'academy awards', ""sophie's choice"", 'iron lady', 'postcards from the edge', 'plenty', 'kramer vs. kramer', 'the devil wears prada', 'jane fonda', 'diane keaton', 'mamma mia', 'theater', 'she devil', 'death becomes her', 'the bridges of madison county', 'don gummer', 'red carpet', 'meryl streep interview', 'august osage county', 'oscar nomination', 'debbie reynolds', 'actress', ""the french lieutenant's woman"", ""it's complicated"", '2012', '1983', '1979']",2019-04-26 14:21:04+00:00,423809,14043,1703,PT20M3S,hd,1203,Friday,29
FGsLhDFDmIs,Be Kind Rewind,The History of How We Watch Movies,"There are more places to watch movies than ever! In this video, I outline how we got to this point, from Supreme Court decisions, to the rise of television, streaming services, and beyond!

My good friend Olivia helped me out with animations for this video. Check her out: olivia-kingsley.com

Music from Epidemic Sound. 

Find me on Twitter @bkrewind
Find me on Patreon https://www.patreon.com/bkrewind","['netflix', 'hulu', 'amazon', 'apple', 'tv+', 'disney+', 'us vs. paramount', 'streaming', 'be kind rewind', 'how we watch movies', 'history', 'film', 'tv', 'i love lucy', 'gunga din', 'rko', 'mgm', 'paramount', 'paramount decrees']",2019-04-01 01:00:03+00:00,87386,4469,363,PT16M7S,hd,967,Monday,19
OI5QwWphDM8,Be Kind Rewind,A Best Actress 2019 Hot Take,"Olivia Colman won the Best Actress Oscar for The Favourite! People (including myself) thought this was an upset, so I thought I'd put in my two cents on the matter. Here's a little bit of a less formal take on how I think all this happened. 

Find me on Twitter @bkrewind
Find me on Patreon https://www.patreon.com/user?u=14743258","['olivia colman', 'best actress', 'oscars', 'academy awards', 'glenn close', 'the favourite', 'the wife', 'melissa mccarthy', 'can you ever forgive me', 'lady gaga', 'a star is born', 'yalitza aparicio', 'roma', '2019']",2019-03-04 01:46:56+00:00,378343,9104,1190,PT10M11S,hd,611,Monday,14
qEberAZhZy4,Be Kind Rewind,#OscarsSoWhite and The Legacy of Halle Berry,"In 2002 Halle Berry became the first and so far only woman of color to win the Best Actress Oscar. This video examines why it took so long and the legacy of Halle’s win as it relates to actresses today. 

For more on this topic, I recommend reading Kelli Carter Jackson, Crystal Keels, Edward Mapp, Audrey McClusky, and Thomas Doherty - all of whom have work that was instrumental to this video. 

I'm here: https://twitter.com/bkrewind

I will be writing about things I had to cut for my patrons, so consider a dollar if you can: https://www.patreon.com/user?u=14743258","['halle berry', 'best actress', 'oscarssowhite', ""monster's ball"", 'hattie mcdaniel', 'whoopi goldberg', 'nina mae mckinney', 'gone with the wind', 'the color purple', 'academy awards', 'oscars', 'interview', '2002', '2001', 'dorothy dandridge', 'carmen jones', 'woc', 'diversity', 'hollywood']",2019-02-18 22:28:10+00:00,413916,14451,2103,PT18M44S,hd,1124,Monday,19
6tihITlPAn4,Be Kind Rewind,Harvey Weinstein and the Oscars: How Gwyneth and Shakespeare in Love Won,"In this video I talk about Harvey Weinstein's legacy at the Oscars and use Shakespeare in Love/Gwyneth Paltrow's wins as a case study for his strategy. I also talk about why he sucks. 

Subscribe if you'd like to see more like this. 

I'm here: https://twitter.com/bkrewind

I will be writing about things I had to cut for my patrons, so consider a dollar if you can: https://www.patreon.com/user?u=14743258

Thank you for the thumbnail, Cody.","['harvey weinstein', 'gwyneth paltrow', 'shakespeare in love', 'saving private ryan', '1999', '1998', 'best actress', 'best picture', 'cate blanchett', 'elizabeth', 'oscars', 'academy awards', 'the english patient', 'be kind rewind', 'miramax', 'dreamworks', 'steven spielberg', 'fernanda montenegro', 'meryl streep']",2019-01-16 18:45:40+00:00,1810343,32724,7419,PT18M57S,hd,1137,Wednesday,19
unqQM3nuO-o,Be Kind Rewind,"Mary Poppins, Eliza Doolittle, and Julie Andrews' Oscar","Julie Andrews originated the role of Eliza Doolittle in My Fair Lady on Broadway, but wasn't cast in the film adaptation. Audrey Hepburn, who ended up playing Eliza, caused a scandal when it was revealed that she didn't sing her own songs. In this video, I walk you through this whole situation and explain how it resulted in Julie's Oscar. 

Subscribe if you'd like to see more like this. 

I'm here: https://twitter.com/bkrewind

I will be writing about things I had to cut for my patrons, so consider a dollar if you can: https://www.patreon.com/user?u=14743258","['julie andrews', 'mary poppins', 'best actress', '1965', '1964', 'my fair lady', 'audrey hepburn', 'jack warner', 'eliza doolittle', 'academy awards', 'oscar', 'interview', 'rex harrison']",2018-12-13 20:15:20+00:00,976508,15815,1697,PT18M1S,hd,1081,Thursday,13
x1b1HkWF5VA,Be Kind Rewind,Joan Crawford Wins Best Actress For Mildred Pierce | 1946,"In 1946, Joan Crawford won an Oscar for Mildred Pierce after leaving her home of nearly 20 years, MGM. In this video I explain the evolution of her persona, her relationship to the studio system, and why her Oscar is a great comeback story. 

Subscribe if you'd like to see more like this. 

I'm here: https://twitter.com/bkrewind

If you're interested in learning more about the info in this video, consider my Patreon! I will be writing about a lot of things I had to cut and providing more BTS info: https://www.patreon.com/user?u=14743258","['joan crawford', 'oscar', 'best actress', 'mildred pierce', 'joan crawford interview', 'mgm', 'bette davis', 'feud', 'mommie dearest', 'eyebrows', 'daisy kenyon', 'whatever happened to baby jane', 'greer garson', 'ingrid bergman', 'grand hotel', 'essay', '1946', 'sadie mckee', 'possessed', 'humoresque', 'the great depression', '1930s', '1940s', 'academy awards']",2018-11-20 01:46:51+00:00,373125,8068,979,PT16M4S,hd,964,Tuesday,24
r5ly_iAmEOE,Be Kind Rewind,How Barbra Streisand and Katharine Hepburn Tied for Best Actress,"In 1969, Barbra Streisand and Katharine Hepburn received the exact same number of votes for Best Actress. In this video, I give you some reasons why. 

Subscribe if you'd like to see more like this. 

I'm here: https://twitter.com/bkrewind

https://www.patreon.com/user?u=14743258","['katharine hepburn oscar', 'barbra streisand oscar', 'academy awards', 'katharine hepburn', 'barbra streisand', 'funny girl', 'best actress', 'oscar', 'the lion in winter', '1969', 'interview', 'patricia neal', 'joanne woodward', 'gregory peck', 'vanessa redgrave', 'barbra streisand katharine hepburn tie', 'musicals', ""peter o'toole""]",2018-10-27 22:49:53+00:00,588030,11767,1186,PT15M22S,hd,922,Saturday,18
akaPSGMi03k,Be Kind Rewind,Comparing Every Version of A Star Is Born,"I took a look at each version of A Star Is Born and what they say about our cultural and cinematic history. 

Check out my channel for more. 

Also I highly recommend Ron Haver's book if you're into production history: https://www.amazon.com/Star-Born-Making-Movie-Restoration/dp/1557835632

I'm here: https://twitter.com/bkrewind

https://www.patreon.com/user?u=14743258","['lady gaga a star is born', 'a star is born', 'bradley cooper', '2018', 'musicals', 'judy garland', 'barbra streisand', 'janet gaynor', 'frederic march', 'kris kristofferson', 'james mason', 'a star is born oscars', 'the man that got away', 'evergreen', '1954', '1937', '1976', 'lady gaga', 'stefani germanotta', 'esther blodgett', 'norman maine', 'ally', 'hollywood']",2018-10-06 19:12:24+00:00,2604287,48996,4104,PT18M9S,hd,1089,Saturday,23
VDexnoeGEr4,Be Kind Rewind,1979 | Jane Fonda Wins Best Actress for Coming Home,"In 1979 Jane Fonda won the Best Actress Oscar after a few years away from Hollywood. In this video I talk about how she rehabilitated her image after the Hanoi Jane incident and how Coming Home is an extension of her activism.

I'm here: https://twitter.com/bkrewind

https://www.patreon.com/user?u=14743258","['jane fonda', 'jane fonda interview', 'jane fonda best actress', 'oscar', 'academy awards', 'best actress oscar', 'coming home', '1979', '1972', 'klute', ""they shoot horses don't they"", 'hbo', 'barbarella', 'hanoi jane', 'vietnam', 'richard nixon', 'the deer hunter', 'geraldine page', 'ellen burstyn', 'ingrid bergman', 'jill clayburgh', 'an unmarried woman', 'autumn sonata', 'interiors', 'henry fonda']",2018-09-24 02:45:07+00:00,195329,4817,536,PT14M1S,hd,841,Monday,25
1aCgkHVUOgE,Be Kind Rewind,1936 | Bette Davis Wins A Consolation Oscar,"In 1936, Bette won her first Best Actress Oscar for ""Dangerous."" Except the award wasn't REALLY for ""Dangerous."" In this video, I tell you why! 

I'm here: https://twitter.com/bkrewind

https://www.patreon.com/user?u=14743258","['bette davis', 'bette davis interview', 'bette davis oscar', '1935', '1936', 'dangerous', 'it happened one night', 'best actress oscar', 'academy awards', 'of human bondage', 'claudette colbert', 'katharine hepburn', 'alice adams', 'oscars 1936', 'sag', 'screen actors guild', 'hollywood 1930s']",2018-08-31 00:45:22+00:00,240394,5142,457,PT11M16S,hd,676,Friday,17
zDBXKP6L9iY,Be Kind Rewind,1955 | Grace Kelly Defeats Judy Garland for Best Actress,"In 1955 Grace Kelly surprised everyone by winning the Best Actress Oscar over Judy Garland. In this video, I contrast Judy and Grace’s reputations to show why this upset occurred. 

Sidenote: Sorry about my mic blowing out!!

I'll be posting a video for EVERY Best Actress Oscar, so be sure to subscribe to my channel. Follow me on Twitter for more information and extra clips/info about each of the episodes!

I'm here: https://twitter.com/bkrewind

https://www.patreon.com/user?u=14743258","['grace kelly', 'grace kelly oscar', 'oscars', 'academy awards', 'judy garland', 'a star is born', 'the country girl', '1954', '1955', '1954 oscars', 'judy garland a star is born', 'grace kelly wins oscar', 'rear window', 'dial m for murder', 'film history', 'judy garland the man that got away', 'video essay', 'best actress']",2018-08-07 22:22:21+00:00,478548,10467,1187,PT14M3S,hd,843,Tuesday,18
U1sSiXC_S2c,Be Kind Rewind,1988 | Cher Wins Best Actress For Moonstruck,"In 1988, Cher won the Best Actress Oscar for Moonstruck over Meryl Streep, Glenn Close, Holly Hunter, and Sally Kirkland, cementing her place as one of the greatest pop culture icons of all time. In this video, I discuss her professional journey and how it ultimately culminated in an Oscar.

I'm here: https://twitter.com/bkrewind

https://www.patreon.com/user?u=14743258","['cher', 'moonstruck', 'cher best actress', 'cher oscar', 'oscar', 'academy awards', 'meryl streep', 'silkwood', 'ironweed', 'glenn close', 'fatal attraction', 'cher interview', 'sally kirkland', 'anna', '1988', '1987', 'Holly hunter', 'broadcast news', 'sonny and cher']",2018-07-19 00:50:10+00:00,305406,7396,761,PT14M21S,hd,861,Thursday,19
YFcJlFy53B4,Be Kind Rewind,How Luise Rainer Won Two Oscars In A Row,"In 1938, Luise Rainer became the first actor to ever win consecutive Academy Awards. In this episode I explain how she benefited from the studio system, how freelancing disadvantaged her opponents, and how white privilege influenced the casting of The Good Earth. 

I'll be posting a video for EVERY Best Actress Oscar, so be sure to subscribe to my channel and follow me on Twitter.

I'm here: https://twitter.com/bkrewind

https://www.patreon.com/user?u=14743258","['luise rainer', 'oscars', 'academy awards', 'best actress oscar', 'how luise rainer won', 'greta garbo', 'barbara stanwyck', 'janet gaynor', 'the good earth', 'stella dallas', 'camille', '1938', '1937', 'irene dunne', 'the awful truth', 'a star is born', 'anna may wong', 'mgm', 'louis b mayer', 'best actress', 'film history']",2018-05-01 18:46:07+00:00,173511,3761,605,PT12M36S,hd,756,Tuesday,21
4N_wK71wIBI,Be Kind Rewind,Best Actress 1961: Elizabeth Taylor wins for Butterfield 8,"Learn how a brush with death may have won Elizabeth Taylor her first Oscar in 1961!

I'll be posting a video for EVERY Best Actress Oscar, so be sure to subscribe to my channel and follow me on Twitter.

https://twitter.com/bkrewind","['elizabeth Taylor', 'oscar', 'academy award', 'best actress', '1961', 'butterfield 8', 'shirley maclaine', 'the apartment', 'cleopatra', 'eddie fisher', 'debbie reynolds', 'best actress oscar', 'hollywood', 'classic movies', 'cat on a hot tin roof', 'elizabeth taylor interview']",2018-04-15 14:42:06+00:00,190283,4204,453,PT10M44S,hd,644,Sunday,16
#NAME?,Be Kind Rewind,Best Actress 1973: Liza Minnelli wins for Cabaret,"In 1973, Liza won her Oscar for portraying Sally Bowles. While she had history on her side (in addition to her great performance), the other nominees had history working against them. 

I'll be posting a video for EVERY Best Actress Oscar, so be sure to subscribe to my channel and follow me on Twitter.

I'm here: https://twitter.com/bkrewind

https://www.patreon.com/user?u=14743258","['Liza Minnelli', 'Cabaret', 'Oscars', 'Best Actress', '1973', '1972', 'Best Actress Oscar', 'Academy Awards', 'maggie smith', 'cicely tyson', 'diana ross', 'liv ullmann', 'the emigrants', 'sounder', 'travels with my aunt', 'the lady sings the blues', 'judy garland', 'vincent minnelli', 'bob fosse', 'film', 'film essay', 'movies', 'hollywood', 'classic hollywood', 'movie musicals', 'musicals']",2018-03-25 17:37:38+00:00,326459,6947,814,PT11M19S,hd,679,Sunday,26
DJxKR_CA93c,Be Kind Rewind,Best Actress 1943: Greer Garson Galvanizes A Nation,"In this episode, I talk about the cultural impact of Mrs. Miniver, Hollywood's response to WWII, and how Greer Garson owned the 1940s. 

I'll be posting a video for EVERY Best Actress Oscar, so be sure to subscribe to my channel and follow me on Twitter.

https://twitter.com/bkrewind","['greer garson', 'best actress', 'oscars', 'the academy awards', 'best actress oscar', 'mrs. miniver', 'katharine hepburn', 'bette davis', 'rosalind russell', 'barbara stanwyck', 'carole lombard', 'hollywood', 'classic hollywood', 'golden age', '1943', 'wwii']",2018-03-04 06:05:45+00:00,129440,2948,191,PT10M49S,hd,649,Sunday,16
YoFwDiLwtQk,Be Kind Rewind,Best Actress 1980: Sally Field - From Flying Nun to Oscar Winner,"In this episode, I explore Sally Field's journey from Flying Nun to Oscar Winner, the stigma against tv that made her win unlikely, and the bold storyline of Norma Rae. 

I'll be posting a video for EVERY Best Actress Oscar, so be sure to subscribe to my channel and follow me on Twitter.

https://twitter.com/bkrewind","['best actress', 'oscars', 'academy awards', 'sally field', 'norma rae', '1980', 'best actress 1980', 'movies', 'hollywood', 'jill clayburgh', 'starting over', 'jane fonda', 'the china syndrome', 'marsha mason', 'chapter two', 'bette midler', 'the rose', 'the flying nun', 'gidget', 'tv']",2018-02-19 18:28:49+00:00,185983,4188,294,PT10M20S,hd,620,Monday,20
Ym0nZnHU_m0,Be Kind Rewind,Best Actress 1992: Jodie Foster in The Silence of the Lambs,"Three iconic feminist characters competed for the 1992 Best Actress Oscar: Clarice Starling, Thelma, and Louise. In this video, I talk about why Jodie Foster won for The Silence Of The Lambs and how the critical reception of Thelma and Louise may have affected Geena Davis and Susan Sarandon's shot at the prize. 

I'll be posting a video for EVERY Best Actress Oscar, so be sure to subscribe to my channel and follow me on Twitter.

https://twitter.com/bkrewind","['Best Actress', 'Oscars', 'Academy Awards', 'Jodie Foster', 'the silence of the lambs', 'geena davis', 'thelma and louise', 'susan sarandon', '1992', 'oscars 1992', 'hollywood', 'awards season', 'classic movies', 'hannibal', 'jonathan demme', 'bette midler', 'laura dern', 'actress', 'movies', 'film studies', 'feminism', 'janet maslin', 'roger ebert', 'film criticism']",2018-02-01 03:54:56+00:00,251302,7513,560,PT10M12S,hd,612,Thursday,24
f_HvsWoxwCU,Be Kind Rewind,Best Actress 1947: Olivia de Havilland Fights Back,"In 1947, Olivia de Havilland conquered the studio system and bested her rival, Joan Fontaine, by winning her first Oscar. In this video, I tell you how that happened. 

I also talk a bit about some huge snubs that year: why the Academy was less likely to pick them and what it says about Hollywood in the 1940s. 

I'll be posting a video for EVERY Best Actress Oscar, so be sure to subscribe to my channel and follow me on Twitter.

Showpage:
https://twitter.com/bkrewind","['Oscars', 'Academy Awards', 'Olivia de Havilland', 'movies', 'Best Actress', 'Actress', 'joan fontaine', 'celia johnson', 'brief encounter', 'to each his own', '1946', '1947', 'myrna loy', 'the best years of our lives', 'gilda', 'rita hayworth', 'barbara stanwyck', 'the strange love of martha ivers', 'humoresque', 'joan crawford', 'suspicion', 'duel in the sun', 'jennifer jones', 'jane wyman', 'the yearling', 'rosalind russell', 'sister kenny', 'the heiress', 'best actress oscar 1947', 'be kind rewind', 'film noir', 'film', 'oscars 1947']",2018-01-19 19:16:16+00:00,268048,4894,519,PT10M50S,hd,650,Friday,33
DVWY6VyYvOQ,Be Kind Rewind,"The Doppelgänger Motif in ""A Stolen Life""","In this video, I discuss how 1946's A Stolen Life, starring Bette Davis, utilized the doppelgänger motif to highlight societal values of the time. 

If you'd like to know more about the doppelgänger motif as it applies to women in film, please check out ""A Woman's View"" by Jeanine Basinger. It's excellent and was the basis for this video. It's on Amazon here: https://www.amazon.com/Womans-View-Hollywood-Spoke-1930-1960/dp/0819562912/ref=asap_bc?ie=UTF8

If you'd like to watch A Stolen Life you can rent it on YouTube here: https://www.youtube.com/watch?v=yMP7g0vYXHw

Finally - if you like what you see here, subscribe! *Hopefully* I can bring you more content like this in the future. 

--- I do not own any of this content. I've collected these photographs purely for educational purposes. ---","['iMovie', 'Bette Davis', 'Glenn Ford', 'A Stolen Life', 'Film', 'Movies', 'Cinema', 'Cinema Studies', 'The Doppelganger Motif', '1946', 'Curtis Bernhardt', 'Olivia DeHavilland', 'Dark Mirror', 'Film Studies', 'Classic Hollywood', 'Old Hollywood', 'The Golden Age', 'The Doppelgänger Motif in A St']",2018-01-09 02:57:24+00:00,83333,3192,214,PT10M38S,hd,638,Tuesday,18
